id,ra_deg,dec_deg,x,y,in_fov,major_arcsec,minor_arcsec,a_pix,b_pix,used
1,113.80791666666664,65.61786111111111,1620.1032487885748,1068.0086307026868,True,26.0,20.8,12.999999685400008,10.399999748320006,True
2,113.82083333333331,65.61477777777777,1600.8560105159318,1056.9956092849918,True,174.0,104.39999999999999,86.99999789460006,52.19999873676002,True
3,113.82624999999999,65.6345,1593.1397714932068,1128.0324167961064,True,110.0,99.0,54.999998669000036,49.49999880210003,True
4,113.83624999999998,65.67558333333334,1579.0082824995943,1276.0017857646292,True,105.0,84.0,52.49999872950003,41.99999898360002,True
5,113.83666666666664,65.64058333333334,1577.7759775592517,1150.0063560242363,True,79.0,55.3,39.49999904410002,27.649999330870013,True
6,113.83666666666664,65.69280555555557,1578.692715508887,1338.0040002362125,True,32.0,25.6,15.999999612800009,12.799999690240009,True
7,113.84749999999998,65.60222222222221,1560.9928318324583,1011.9879996890646,True,166.0,99.6,82.99999799140005,49.79999879484003,True
8,113.87124999999999,65.65716666666667,1526.7496413340837,1209.9701215766165,True,85.0,68.0,42.49999897150003,33.99999917720002,True
9,113.88124999999998,65.59633333333333,1510.687335934,991.0553095157687,True,5.0,3.5,2.4999999395000017,1.749999957650001,True
10,113.89791666666665,65.63961111111112,1486.809819586233,1146.9944337000547,True,35.0,28.0,17.49999957650001,13.999999661200007,True
11,113.91374999999998,65.7076388888889,1464.7935740625217,1392.0302388515386,True,15.0,12.0,7.4999998185000045,5.999999854800003,True
12,113.91416666666665,65.57347222222222,1461.225520779246,909.043239525928,True,25.0,12.5,12.499999697500007,6.2499998487500035,True
13,113.91583333333331,65.62902777777776,1459.9719439071405,1109.054654626995,True,123.0,86.1,61.499998511700035,43.049998958190024,True
14,113.91916666666665,65.59649999999999,1454.295461119511,991.9874260951044,True,98.0,78.4,48.999998814200026,39.199999051360024,True
15,113.92833333333331,65.62230555555554,1441.250092607925,1084.9709539851285,True,150.0,105.0,74.99999818500004,52.49999872950003,True
16,113.93541666666664,65.67397222222223,1431.924401496735,1271.0343052985916,True,74.0,59.2,36.99999910460002,29.59999928368002,True
17,113.93874999999998,65.58783333333332,1424.965455551702,960.97293544968,True,41.0,24.599999999999998,20.49999950390001,12.299999702340006,True
18,113.94749999999998,65.55725,1411.2156072139355,850.9609360616323,True,160.0,128.0,79.99999806400005,63.999998451200035,True
19,113.94791666666664,65.61169444444444,1411.8979792080777,1046.96070429749,True,89.0,62.3,44.49999892310002,31.149999246170015,True
20,113.95249999999997,65.6436388888889,1405.857737995313,1162.0036327046932,True,110.0,55.0,54.999998669000036,27.499999334500018,True
21,113.95333333333332,65.60558333333333,1403.698126516215,1025.0150749620736,True,,,,,False
22,113.95458333333332,65.70225,1404.1892436578858,1373.0194972252593,True,17.0,10.2,8.499999794300004,5.099999876580003,True
23,113.96874999999999,65.48969444444444,1377.8641414239064,607.9826836568602,True,37.0,25.9,18.49999955230001,12.949999686610006,True
24,113.97333333333331,65.64886111111112,1375.0602629523678,1181.0161456553392,True,69.0,62.1,34.49999916510002,31.04999924859002,True
25,113.9820833333333,65.64133333333334,1361.8774574406887,1154.0093431133778,True,58.0,34.8,28.999999298200017,17.39999957892001,True
26,113.99166666666665,65.65825000000001,1348.0955224217505,1215.0110819718248,True,8.0,3.2,3.999999903200002,1.599999961280001,True
27,113.99916666666664,65.54572222222222,1333.9441156686294,810.004816632829,True,160.0,128.0,79.99999806400005,63.999998451200035,True
28,114.00791666666666,65.59375,1322.2189306633354,982.9979911654619,True,,,,,False
29,114.00916666666664,65.62180555555555,1321.1292833284217,1084.0092066885234,True,2.0,1.2,0.9999999758000006,0.5999999854800003,True
30,114.01166666666664,65.56541666666666,1315.8593887693198,881.0435651689825,True,,,,,False
31,114.01749999999997,65.59872222222222,1308.102626089196,1001.0068963931778,True,26.0,15.6,12.999999685400008,7.799999811240005,True
32,114.01833333333332,65.60983333333333,1307.1739590401244,1041.0153065504135,True,22.0,17.6,10.999999733800006,8.799999787040006,True
33,114.02124999999998,65.58983333333333,1302.2755904425487,969.0512831631938,True,51.0,30.599999999999998,25.499999382900015,15.299999629740007,True
34,114.02249999999998,65.68036111111111,1302.9684713847976,1294.9557471790406,True,29.0,23.200000000000003,14.499999649100008,11.599999719280008,True
35,114.03166666666664,65.60338888888889,1287.1679778790099,1017.9720937394792,True,69.0,48.3,34.49999916510002,24.14999941557001,True
36,114.03541666666665,65.61422222222221,1281.905466429213,1057.0154891628467,True,15.0,6.0,7.4999998185000045,2.9999999274000015,True
37,114.04749999999999,65.62277777777777,1264.199349887009,1087.9605374582627,True,2.0,1.0,0.9999999758000006,0.4999999879000003,True
38,114.04749999999999,65.65194444444445,1265.0634609190554,1192.9569607548528,True,9.0,3.6,4.4999998911000025,1.799999956440001,True
39,114.05499999999998,65.65277777777779,1253.9573735632468,1196.049134287,True,,,,,False
40,114.06374999999998,65.62133333333333,1240.010642165893,1082.9625673617782,True,2.0,1.6,0.9999999758000006,0.7999999806400006,True
41,114.07208333333331,65.6696388888889,1229.1272173083344,1256.9619858235078,True,65.0,45.5,32.49999921350002,22.749999449450012,True
42,114.07374999999998,65.60825,1224.7443538063606,1035.9916478177297,True,102.0,51.0,50.99999876580003,25.499999382900015,True
43,114.07583333333332,65.61102777777778,1221.7339774178824,1046.0181060240545,True,71.0,63.9,35.49999914090002,31.949999226810018,True
44,114.0783333333333,65.54072222222221,1215.8105110866572,792.9601184104753,True,171.0,136.8,85.49999793090005,68.39999834472005,True
45,114.07874999999999,65.50461111111112,1214.0547817977188,662.9706261424241,True,24.0,16.799999999999997,11.999999709600006,8.399999796720003,True
46,114.08166666666665,65.5196111111111,1210.1752812596415,717.0065695903179,True,70.0,42.0,34.99999915300002,20.99999949180001,True
47,114.08333333333331,65.55572222222222,1208.833205135135,847.0232873566263,True,68.0,47.599999999999994,33.99999917720002,23.79999942404001,True
48,114.08458333333331,65.64461111111112,1209.7934728123844,1167.027205231582,True,5.0,3.5,2.4999999395000017,1.749999957650001,True
49,114.08916666666664,65.58624999999999,1201.1209277423332,956.9957920384915,True,,,,,False
50,114.09083333333331,65.65236111111112,1200.7637720739829,1195.0083847792278,True,,,,,False
51,114.09541666666665,65.59288888888888,1192.0364480308465,980.9779850606977,True,77.0,46.199999999999996,38.49999906830002,23.09999944098001,True
52,114.09624999999998,65.62511111111111,1191.8414364079156,1096.9844319906474,True,172.0,120.39999999999999,85.99999791880005,60.19999854316003,True
53,114.09916666666665,65.52622222222222,1184.2857302937314,741.0382381022519,True,42.0,21.0,20.99999949180001,10.499999745900006,True
54,114.10249999999999,65.6756388888889,1184.211945932931,1278.9609068885193,True,,,,,False
55,114.11124999999998,65.59977777777777,1168.7132826874633,1005.9916782586323,True,62.0,49.6,30.99999924980002,24.799999399840015,True
56,114.11791666666666,65.47947222222223,1154.7495220400128,573.0031493969273,True,21.0,14.7,10.499999745900006,7.349999822130004,True
57,114.12124999999999,65.63586111111111,1155.0634128373938,1136.024578558107,True,42.0,33.6,20.99999949180001,16.79999959344001,True
